param,reg.coeff,SE,t_val,p_val,species,fishery,vessel_fctr_number,rank_coeff,coeff_norm,rank_coeff_norm,fishery_lab,signif
VSL_ID_F1,-0.257996965,0.491965868,-0.524420455,0.600014943,Sea turtles,ETBF,1,12,-0.14602255,12,Tuna longlines,No
VSL_ID_F2,-0.162961066,0.51208026,-0.318233446,0.750324336,Sea turtles,ETBF,2,19,-0.092233606,19,Tuna longlines,No
VSL_ID_F3,-0.056576979,0.536461722,-0.105463217,0.916013499,Sea turtles,ETBF,3,48,-0.032021752,48,Tuna longlines,No
VSL_ID_F4,0.1077474,0.521227889,0.20671841,0.836240211,Sea turtles,ETBF,4,82,0.024324895,82,Tuna longlines,No
VSL_ID_F5,-0.26887495,0.490173944,-0.548529666,0.583358617,Sea turtles,ETBF,5,9,-0.152179332,9,Tuna longlines,No
VSL_ID_F6,-0.048227878,0.538570191,-0.08954799,0.928650861,Sea turtles,ETBF,6,49,-0.027296281,49,Tuna longlines,No
VSL_ID_F7,-0.172257939,0.509384314,-0.338168912,0.735253498,Sea turtles,ETBF,7,16,-0.097495502,16,Tuna longlines,No
VSL_ID_F8,-0.132112277,0.518321375,-0.254884871,0.798825013,Sea turtles,ETBF,8,29,-0.074773638,29,Tuna longlines,No
VSL_ID_F9,-0.045190917,0.539373706,-0.083784057,0.933232281,Sea turtles,ETBF,9,50,-0.025577405,50,Tuna longlines,No
VSL_ID_F10,0.238052857,0.46266768,0.51452234,0.606915029,Sea turtles,ETBF,10,94,0.053742464,94,Tuna longlines,No
VSL_ID_F11,0.078598927,0.509582871,0.154241697,0.877426881,Sea turtles,ETBF,11,78,0.017744378,78,Tuna longlines,No
VSL_ID_F12,-0.039668065,0.540783976,-0.073352886,0.941528945,Sea turtles,ETBF,12,52,-0.022451551,52,Tuna longlines,No
VSL_ID_F13,-0.038928489,0.541028935,-0.071952693,0.942643123,Sea turtles,ETBF,13,53,-0.022032961,53,Tuna longlines,No
VSL_ID_F14,-0.017540771,0.546692935,-0.032085234,0.974405666,Sea turtles,ETBF,14,64,-0.009927823,64,Tuna longlines,No
VSL_ID_F15,-0.019104325,0.546269725,-0.034972331,0.972103534,Sea turtles,ETBF,15,63,-0.010812772,63,Tuna longlines,No
VSL_ID_F16,-0.077007211,0.531318884,-0.144935956,0.884768677,Sea turtles,ETBF,16,40,-0.043584967,40,Tuna longlines,No
VSL_ID_F17,0.365768229,0.531425617,0.688277376,0.491317698,Sea turtles,ETBF,17,97,0.082575299,97,Tuna longlines,No
VSL_ID_F18,-0.103912769,0.524962157,-0.197943351,0.843099358,Sea turtles,ETBF,18,35,-0.058813124,35,Tuna longlines,No
