sp1,sp2,pairs,quant_0,quant_25,quant_50,quant_75,quant_100,mean_cc
etbf.birds.fe,etbf.makos.fe,etbf.birds.fe_etbf.makos.fe,-0.2808840352502148,-0.06144948550672485,0.0025421217805352606,0.0753891575638754,0.33294927666569823,0.006757988105083402
etbf.birds.fe,etbf.turtles.fe,etbf.birds.fe_etbf.turtles.fe,-0.2784905601561084,-0.05861145455879678,0.007303895659264828,0.07365953817480933,0.35506478777018124,0.007753798548264981
etbf.makos.fe,etbf.turtles.fe,etbf.makos.fe_etbf.turtles.fe,-0.3145920350743312,-0.06294018859762594,0.0011741141288765713,0.06350434336701291,0.37052281005211984,0.0034748550522243392
gns.birds.fe,gns.dolphins.fe,gns.birds.fe_gns.dolphins.fe,-0.48610719808367403,-0.07624476099780737,0.021366392865481983,0.1124485704380121,0.4436384174613691,0.01901962188346183
gns.birds.fe,gns.hammers.fe,gns.birds.fe_gns.hammers.fe,-0.3468441519883987,-0.05757615880844188,0.030652017267068277,0.11457993683899054,0.4302666278215431,0.03202004079845108
gns.dolphins.fe,gns.hammers.fe,gns.dolphins.fe_gns.hammers.fe,-0.3833888383311813,-0.059207633955563534,0.0361155320631285,0.12660609869999384,0.4710147808794842,0.0345841164694156
lla.birds.fe,lla.gulpers.fe,lla.birds.fe_lla.gulpers.fe,-0.5535351262159829,-0.008886201779488529,0.15303011099753452,0.3229202579242289,0.7513516359419912,0.1524545944037002
lla.birds.fe,lla.ssh.fe,lla.birds.fe_lla.ssh.fe,-0.6267429614975143,-0.15262651042450312,0.015331900053924163,0.19342552830567936,0.7155321620999177,0.021808349784039657
lla.gulpers.fe,lla.ssh.fe,lla.gulpers.fe_lla.ssh.fe,-0.720723123887677,-0.10864837248217155,0.05965732750053064,0.20781791164301777,0.7132069404222692,0.05294314359071179
npf.hammers.fe,npf.sawfish.fe,npf.hammers.fe_npf.sawfish.fe,-0.38067847604833077,-0.052465711328776,0.033272764061599666,0.1272422798452117,0.4647193978845369,0.03553605649143177
npf.hammers.fe,npf.seasnakes.fe,npf.hammers.fe_npf.seasnakes.fe,-0.5269009645335346,-0.08980223338061918,0.005281356675171091,0.11018832739139749,0.3846253366257907,0.007852470889915997
npf.hammers.fe,npf.syngs.fe,npf.hammers.fe_npf.syngs.fe,-0.3852781197381146,-0.05163060400799063,0.04122786614912303,0.13642658640405378,0.469445589607684,0.039494522401480096
npf.sawfish.fe,npf.seasnakes.fe,npf.sawfish.fe_npf.seasnakes.fe,-0.4217606597646451,-0.08080072000731653,0.010961840035585032,0.10280401282405514,0.47253892301532935,0.010248413671947874
npf.sawfish.fe,npf.syngs.fe,npf.sawfish.fe_npf.syngs.fe,-0.42576468711181653,-0.0674063552200424,0.03521586218283474,0.11888468187025657,0.5411577301809148,0.024732494192933326
npf.seasnakes.fe,npf.syngs.fe,npf.seasnakes.fe_npf.syngs.fe,-0.40983032853251267,-0.06726599371556137,0.02634390570427665,0.12066859381256359,0.49204851385958687,0.026978753416170162
otb.birds.fe,otb.pinns.fe,otb.birds.fe_otb.pinns.fe,-0.23853261777076093,0.03658569723367955,0.1185733443979929,0.2025767946552474,0.5216383384189661,0.11836668262329955
