fishery,year,vessel_id,bycatch_spp,avg_ratio
demersal_longlines,2007,LLA_11559ew,Albatrosses,0.003609367
demersal_longlines,2007,LLA_11559ew,Petrels,7.66E-04
demersal_longlines,2007,LLA_11559ew,Shearwaters,0.005075468
demersal_longlines,2008,LLA_11559ew,Albatrosses,0.003002041
demersal_longlines,2008,LLA_11559ew,Petrels,0.028166508
demersal_longlines,2008,LLA_11559ew,Shearwaters,0.035103469
demersal_longlines,2009,LLA_11559ew,Albatrosses,0
demersal_longlines,2009,LLA_11559ew,Petrels,0
demersal_longlines,2009,LLA_11559ew,Shearwaters,0
demersal_longlines,2014,LLA_11da7,Albatrosses,0
demersal_longlines,2014,LLA_11da7,Petrels,0
demersal_longlines,2014,LLA_11da7,Shearwaters,0.177432217
demersal_longlines,2015,LLA_11da7,Albatrosses,0
demersal_longlines,2015,LLA_11da7,Petrels,0
demersal_longlines,2015,LLA_11da7,Shearwaters,0.150372496
demersal_longlines,2012,LLA_1604d9a,Albatrosses,0.029377351
demersal_longlines,2012,LLA_1604d9a,Petrels,0.012816924
demersal_longlines,2012,LLA_1604d9a,Shearwaters,0.005932897
demersal_longlines,2012,LLA_1693uuq,Albatrosses,0
demersal_longlines,2012,LLA_1693uuq,Petrels,0
demersal_longlines,2012,LLA_1693uuq,Shearwaters,0
demersal_longlines,2014,LLA_1803kmb,Albatrosses,0
demersal_longlines,2014,LLA_1803kmb,Petrels,0
demersal_longlines,2014,LLA_1803kmb,Shearwaters,0
demersal_longlines,2012,LLA_1818fo1,Albatrosses,0
demersal_longlines,2012,LLA_1818fo1,Petrels,0
demersal_longlines,2012,LLA_1818fo1,Shearwaters,0
demersal_longlines,2013,LLA_1818fo1,Albatrosses,0
demersal_longlines,2013,LLA_1818fo1,Petrels,0
demersal_longlines,2013,LLA_1818fo1,Shearwaters,0
demersal_longlines,2014,LLA_1818fo1,Albatrosses,0
demersal_longlines,2014,LLA_1818fo1,Petrels,0
demersal_longlines,2014,LLA_1818fo1,Shearwaters,0
demersal_longlines,2007,LLA_192ps9,Albatrosses,0.148633167
demersal_longlines,2007,LLA_192ps9,Petrels,0.171141676
demersal_longlines,2007,LLA_192ps9,Shearwaters,0
demersal_longlines,2008,LLA_192ps9,Albatrosses,0
demersal_longlines,2008,LLA_192ps9,Petrels,0
demersal_longlines,2008,LLA_192ps9,Shearwaters,9.12E-05
demersal_longlines,2010,LLA_192ps9,Albatrosses,0.029269756
demersal_longlines,2010,LLA_192ps9,Petrels,0.018318662
demersal_longlines,2010,LLA_192ps9,Shearwaters,0
demersal_longlines,2011,LLA_192ps9,Albatrosses,0.003192875
demersal_longlines,2011,LLA_192ps9,Petrels,6.12E-04
demersal_longlines,2011,LLA_192ps9,Shearwaters,0.001347104
demersal_longlines,2012,LLA_192ps9,Albatrosses,0.035954396
demersal_longlines,2012,LLA_192ps9,Petrels,0.00975834
demersal_longlines,2012,LLA_192ps9,Shearwaters,0.002819565
demersal_longlines,2013,LLA_192ps9,Albatrosses,0.21898068
demersal_longlines,2013,LLA_192ps9,Petrels,0.047848754
